X,Y,Rent
59.841459,30.486198,444.4444444
60.082857,30.352115,465.1162791
59.939361,30.225794,681.8181818
60.039324,30.397983,548.3870968
59.924531,30.4996082,500
59.915409,30.446931,657.1428571
60.04711,30.3820496,617.6470588
59.996299,30.193806,550
59.902116,30.4745385,600
60.032434,30.348306,402.4144869
60.028821,30.294128,547.6190476
60.035958,30.222569,696.969697
60.041112,30.409994,552.6315789
59.954024,30.216721,700
59.846244,30.110298,447.3684211
59.962059,30.2828994,1000
59.825862,30.3967229,500
59.99243,30.3184658,600
60.009489,30.346465,540.5405405
59.871742,30.4764469,454.5454545
59.847529,30.3119279,677.4193548
60.024756,30.222533,357.1428571
59.831349,30.324456,694.4444444
59.901214,30.2736085,666.6666667
59.851739,30.142089,724.137931
59.863468,30.17919,629.6296296
59.930437,30.4651263,628.5714286
59.933116,30.3484034,1153.846154
60.077466,30.338201,600
59.950172,30.483332,595.2380952
59.920645,30.371959,940
59.918703,30.430981,418.6046512
60.032609,30.411934,604.6511628
59.841337,30.2573957,588.2352941
59.991353,30.3162541,588.2352941
59.86092,30.3521311,486.4864865
60.001005,30.324851,650
59.842504,30.486998,475
60.053754,30.317099,514.2857143
60.0002378,30.28450503,540.5405405
59.860701,30.185031,416.6666667
59.914355,30.4963921,533.3333333
60.042722,30.2415155,696.969697
59.850033,30.281364,545.4545455
60.003694,30.4160249,457.1428571
59.857592,30.195373,493.1506849
59.891825,30.4152457,500
59.83845,30.138396,472.2222222
59.946547,30.3875547,1250
59.92952,30.258843,831.0249307
59.922826,30.446555,470.5882353
60.01861229,30.32535912,566.6666667
59.990252,30.2095187,425
59.84332,30.2279835,428.5714286
59.900324,30.459001,526.3157895
60.068984,30.3028263,588.2352941
60.004703,30.204603,466.6666667
59.841816,30.351046,444.4444444
59.838978,30.352802,550
60.013924,30.27901,638.8888889
60.068984,30.3028263,738.2550336
59.941647,30.4888121,512.8205128
60.021703,30.270171,450
60.026644,30.297677,603.4482759
60.040577,30.21965,558.8235294
59.985462,30.421914,609.7560976
60.035159,30.405018,645.1612903
60.036555,30.350633,405.4054054
60.029968,30.454847,461.5384615
60.030925,30.2989452,500
59.957584,30.405511,1000
59.865741,30.374817,1
60.005351,30.415454,516.1290323
59.816601,30.3250659,568.8622754
59.855111,30.194729,550
59.940192,30.223575,750
60.068984,30.3028263,589.7435897
59.850829,30.207747,375
59.932977,30.423319,725
59.942305,30.4785944,386.3636364
59.924558,30.4829764,450
59.963955,30.2734662,918.3673469
60.03554,30.347462,625
60.012747,30.403461,516.1290323
60.038209,30.346519,468.75
59.829215,30.330668,514.2857143
59.859736,30.179378,384.6153846
60.001005,30.324851,650
60.03554,30.347462,625
60.029072,30.247659,696.969697
60.081031,30.34094,528.5714286
60.082857,30.352115,487.1794872
59.911679,30.4967196,600
59.863232,30.500866,457.1428571
59.943516,30.225992,625
59.918811,30.4179858,595.2380952
59.856759,30.191533,500
